Design Token,Light,Dark,Teams Light,Teams Dark,Teams High Contrast
colorBackgroundOverlay,"RGBA(0, 0, 0, 0.4)","RGBA(0, 0, 0, 0.5)","RGBA(0, 0, 0, 0.4)","RGBA(0, 0, 0, 0.5)","RGBA(0, 0, 0, 0.5)"
colorBrandBackground,#0F6CBD,#115EA3,#5B5FC7,#4F52B2,#FFFFFF
colorBrandBackground2,#EBF3FC,#082338,#E8EBFA,#2F2F4A,#000000
colorBrandBackground2Hover,#CFE4FA,#0C3B5E,#DCE0FA,#383966,#000000
colorBrandBackground2Pressed,#96C6FA,#061724,#B6BCFA,#2B2B40,#000000
colorBrandBackground3Static,#0F548C,#0F548C,#444791,#444791,#000000
colorBrandBackground4Static,#0C3B5E,#0C3B5E,#383966,#383966,#000000
colorBrandBackgroundHover,#115EA3,#0F6CBD,#4F52B2,#5B5FC7,#1AEBFF
colorBrandBackgroundInverted,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
colorBrandBackgroundInvertedHover,#EBF3FC,#EBF3FC,#E8EBFA,#E8EBFA,#1AEBFF
colorBrandBackgroundInvertedPressed,#B4D6FA,#B4D6FA,#C5CBFA,#C5CBFA,#1AEBFF
colorBrandBackgroundInvertedSelected,#CFE4FA,#CFE4FA,#DCE0FA,#DCE0FA,#1AEBFF
colorBrandBackgroundPressed,#0C3B5E,#0C3B5E,#383966,#383966,#1AEBFF
colorBrandBackgroundSelected,#0F548C,#0F548C,#444791,#444791,#1AEBFF
colorBrandBackgroundStatic,#0F6CBD,#0F6CBD,#5B5FC7,#5B5FC7,#000000
colorBrandForeground1,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#FFFFFF
colorBrandForeground2,#115EA3,#62ABF5,#4F52B2,#AAB1FA,#FFFFFF
colorBrandForeground2Hover,#0F548C,#96C6FA,#444791,#B6BCFA,#FFFFFF
colorBrandForeground2Pressed,#0A2E4A,#EBF3FC,#333357,#E8EBFA,#FFFFFF
colorBrandForegroundInverted,#479EF5,#0F6CBD,#7F85F5,#5B5FC7,#FFFFFF
colorBrandForegroundInvertedHover,#62ABF5,#115EA3,#9299F7,#4F52B2,#000000
colorBrandForegroundInvertedPressed,#479EF5,#0F548C,#7F85F5,#444791,#000000
colorBrandForegroundLink,#115EA3,#479EF5,#4F52B2,#7F85F5,#FFFF00
colorBrandForegroundLinkHover,#0F548C,#62ABF5,#444791,#9299F7,#FFFF00
