Design Token,Dark
colorBackgroundOverlay,"RGBA(0, 0, 0, 0.5)"
colorBrandBackground,#115EA3
colorBrandBackground2,#082338
colorBrandBackground2Hover,#0C3B5E
colorBrandBackground2Pressed,#061724
colorBrandBackground3Static,#0F548C
colorBrandBackground4Static,#0C3B5E
colorBrandBackgroundHover,#0F6CBD
colorBrandBackgroundInverted,#FFFFFF
colorBrandBackgroundInvertedHover,#EBF3FC
colorBrandBackgroundInvertedPressed,#B4D6FA
colorBrandBackgroundInvertedSelected,#CFE4FA
colorBrandBackgroundPressed,#0C3B5E
colorBrandBackgroundSelected,#0F548C
colorBrandBackgroundStatic,#0F6CBD
colorBrandForeground1,#479EF5
colorBrandForeground2,#62ABF5
colorBrandForeground2Hover,#96C6FA
colorBrandForeground2Pressed,#EBF3FC
colorBrandForegroundInverted,#0F6CBD
colorBrandForegroundInvertedHover,#115EA3
colorBrandForegroundInvertedPressed,#0F548C
colorBrandForegroundLink,#479EF5
colorBrandForegroundLinkHover,#62ABF5
colorBrandForegroundLinkPressed,#2886DE
colorBrandForegroundLinkSelected,#479EF5
colorBrandForegroundOnLight,#0F6CBD
colorBrandForegroundOnLightHover,#115EA3
colorBrandForegroundOnLightPressed,#0E4775
colorBrandForegroundOnLightSelected,#0F548C
colorBrandShadowAmbient,"RGBA(0,0,0,0.30)"
colorBrandShadowKey,"RGBA(0,0,0,0.25)"
colorBrandStroke1,#479EF5
colorBrandStroke2,#0E4775
colorBrandStroke2Contrast,#0E4775
colorBrandStroke2Hover,#0E4775
colorBrandStroke2Pressed,#0A2E4A
colorCompoundBrandBackground,#479EF5
colorCompoundBrandBackgroundHover,#62ABF5
colorCompoundBrandBackgroundPressed,#2886DE
colorCompoundBrandForeground1,#479EF5
colorCompoundBrandForeground1Hover,#62ABF5
colorCompoundBrandForeground1Pressed,#2886DE
colorCompoundBrandStroke,#479EF5
colorCompoundBrandStrokeHover,#62ABF5
colorCompoundBrandStrokePressed,#2886DE
colorNeutralBackground1,#292929
colorNeutralBackground1Hover,#3D3D3D
colorNeutralBackground1Pressed,#1F1F1F
colorNeutralBackground1Selected,#383838
colorNeutralBackground2,#1F1F1F
colorNeutralBackground2Hover,#333333
colorNeutralBackground2Pressed,#141414
colorNeutralBackground2Selected,#2E2E2E
colorNeutralBackground3,#141414
colorNeutralBackground3Hover,#292929
colorNeutralBackground3Pressed,#0A0A0A
colorNeutralBackground3Selected,#242424
colorNeutralBackground4,#0A0A0A
colorNeutralBackground4Hover,#1F1F1F
colorNeutralBackground4Pressed,#000000
colorNeutralBackground4Selected,#1A1A1A
colorNeutralBackground5,#000000
colorNeutralBackground5Hover,#141414
colorNeutralBackground5Pressed,#050505
colorNeutralBackground5Selected,#0F0F0F
colorNeutralBackground6,#333333
colorNeutralBackgroundAlpha,"RGBA(26, 26, 26, 0.5)"
colorNeutralBackgroundAlpha2,"RGBA(31, 31, 31, 0.7)"
colorNeutralBackgroundDisabled,#141414
colorNeutralBackgroundInverted,#FFFFFF
colorNeutralBackgroundInvertedDisabled,"RGBA(255, 255, 255, 0.1)"
colorNeutralBackgroundStatic,#3D3D3D
colorNeutralCardBackground,#333333
colorNeutralCardBackgroundDisabled,#141414
colorNeutralCardBackgroundHover,#3D3D3D
