"Code","Abbrev Descrip","Logical Map","Historical Map","Sequence Number"
"F32.0","Mild depressive episode","F32.00","F32.00",0
"F32.0","Mild depressive episode","F32.00","F32.01",1
"F32.1","Moderate depressive episode","F32.10","F32.10",0
"F32.1","Moderate depressive episode","F32.10","F32.11",1
"F32.2","Sev depressive episode wo psych symptoms","F32.20","F32.20",0
"F32.2","Sev depressive episode wo psych symptoms","F32.20","F32.21",1
"F32.3","Sev depressive episode w psych symptoms","F32.30","F32.30",0
"F32.3","Sev depressive episode w psych symptoms","F32.30","F32.31",1
"F32.8","Other depressive episodes","F32.80","F32.80",0
"F32.8","Other depressive episodes","F32.80","F32.81",1
"F32.9","Depressive episode unspecified","F32.90","F32.90",0
"F32.9","Depressive episode unspecified","F32.90","F32.91",1
"G40.0","Local-rel idiopath epilep local seizure","G40.00","G40.00",0
"G40.0","Local-rel idiopath epilep local seizure","G40.00","G40.01",1
"G40.1","Local-rel sym epilep simp part seizures","G40.10","G40.10",0
"G40.1","Local-rel sym epilep simp part seizures","G40.10","G40.11",1
"G40.2","Local-rel sym epilep complx part seizure","G40.20","G40.20",0
"G40.2","Local-rel sym epilep complx part seizure","G40.20","G40.21",1
"G40.3","Genl idiopath epilepsy epileptic syndr","G40.30","G40.30",0
"G40.3","Genl idiopath epilepsy epileptic syndr","G40.30","G40.31",1
"G40.4","Oth genl epilepsy & epileptic syndromes","G40.40","G40.40",0
"G40.4","Oth genl epilepsy & epileptic syndromes","G40.40","G40.41",1
"G40.5","Special epileptic syndromes","G40.50","G40.50",0
"G40.5","Special epileptic syndromes","G40.50","G40.51",1
"G40.6","Grand mal seizures NOS (+/ - petit mal)","G40.60","G40.60",0
"G40.6","Grand mal seizures NOS (+/ - petit mal)","G40.60","G40.61",1
"G40.7","Petit mal NOS wo grand mal seizures","G40.70","G40.70",0
"G40.7","Petit mal NOS wo grand mal seizures","G40.70","G40.71",1
"G40.8","Other epilepsy","G40.80","G40.80",0
"G40.8","Other epilepsy","G40.80","G40.81",1
"G40.9","Epilepsy unspecified","G40.90","G40.90",0
"G40.9","Epilepsy unspecified","G40.90","G40.91",1
"K63.5","Polyp of colon","K63.58","K63.58",0
"K63.5","Polyp of colon","K63.58","K63.50",1
"K63.5","Polyp of colon","K63.58","K63.51",2
"O24.1","Pre-existing DM Type 2, in pregnancy","O24.11","O24.11",0
"O24.1","Pre-existing DM Type 2, in pregnancy","O24.11","O24.12",1
"O24.2","Pre-existing DM, oth spec type, in preg","O24.21","O24.21",0
"O24.2","Pre-existing DM, oth spec type, in preg","O24.21","O24.22",1
"O24.3","Pre-existing DM unspec, in pregnancy","O24.31","O24.31",0
"O24.3","Pre-existing DM unspec, in pregnancy","O24.31","O24.32",1
"O24.9","DM in pregnancy unspec onset","O24.91","O24.91",0
"O24.9","DM in pregnancy unspec onset","O24.91","O24.92",1
"P07.0","Extremely low birth weight","P07.03","P07.03",0
"P07.0","Extremely low birth weight","P07.03","P07.02",1
"P07.0","Extremely low birth weight","P07.03","P07.01",2
"P07.1","Other low birth weight","P07.13","P07.13",0
"P07.1","Other low birth weight","P07.13","P07.12",1
"P07.1","Other low birth weight","P07.13","P07.11",2
"P07.2","Extreme immaturity","P07.22","P07.22",0
"P07.2","Extreme immaturity","P07.22","P07.21",1
"P07.3","Other preterm infants","P07.30","P07.30",0
"P07.3","Other preterm infants","P07.30","P07.32",1
"P07.3","Other preterm infants","P07.30","P07.31",2
"P28.4","Other apnoea of newborn","P28.49","P28.49",0
"P28.4","Other apnoea of newborn","P28.49","P28.40",1
"P28.4","Other apnoea of newborn","P28.49","P28.41",2
"P28.4","Other apnoea of newborn","P28.49","P28.42",3
"P28.8","Oth spec respiratory conditions newborn","P28.89","P28.89",0
"P28.8","Oth spec respiratory conditions newborn","P28.89","P28.81",1
"P28.8","Oth spec respiratory conditions newborn","P28.89","P28.82",2
"P28.8","Oth spec respiratory conditions newborn","P28.89","P28.83",3
"P29.8","Oth perinatal cardiovascular disrd","P29.89","P29.89",0
"P29.8","Oth perinatal cardiovascular disrd","P29.89","P29.81",1
"P29.8","Oth perinatal cardiovascular disrd","P29.89","P29.82",2
"P37.5","Neonatal candidiasis","P37.50","P37.50",0
"P37.5","Neonatal candidiasis","P37.50","P37.59",1
"P37.5","Neonatal candidiasis","P37.50","P37.51",2
"P37.5","Neonatal candidiasis","P37.50","P37.52",3
"P74.2","Disturbances sodium balance newborn","P74.20","P74.20",0
"P74.2","Disturbances sodium balance newborn","P74.20","P74.29",1
"P74.2","Disturbances sodium balance newborn","P74.20","P74.21",2
"P74.2","Disturbances sodium balance newborn","P74.20","P74.22",3
"P74.3","Disturbances potassium balance newborn","P74.30","P74.30",0
"P74.3","Disturbances potassium balance newborn","P74.30","P74.39",1
"P74.3","Disturbances potassium balance newborn","P74.30","P74.31",2
"P74.3","Disturbances potassium balance newborn","P74.30","P74.32",3
"P91.8","Oth spec disturb newborn cerebral status","P91.89","P91.89",0
