"Code","Abbrev Descrip","Logical Map","Historical Map","Sequence Number"
"30478-20","Panendoscopy to duodenum w other coagltn","30478-03","30478-03",0
"30478-21","Panendoscopy to ileum with other coagltn","30478-17","30478-17",0
"31423-00","Excision of lymph node of neck","30325-00","30325-00",0
"31423-01","Regional excision of lymph nodes of neck","30325-01","30325-01",0
"31435-00","Radical excision of lymph nodes of neck","30328-00","30328-00",0
"31462-00","Insertion of feeding jejunostomy tube","30375-16","30375-16",0
"31466-00","Revision fundoplasty","30530-00","30530-00",0
"31466-00","Revision fundoplasty","30530-00","30527-00",1
"31466-00","Revision fundoplasty","30530-00","30527-01",2
"31466-00","Revision fundoplasty","30530-00","30527-02",3
"31466-00","Revision fundoplasty","30530-00","30527-03",4
"31466-00","Revision fundoplasty","30530-00","30527-04",5
"31466-00","Revision fundoplasty","30530-00","30527-05",6
"31466-00","Revision fundoplasty","30530-00","30529-00",7
"31466-00","Revision fundoplasty","30530-00","30529-01",8
"31470-00","Laparoscopic splenectomy","30597-00","30597-00",0
"31470-00","Laparoscopic splenectomy","30597-00","30390-00",1
"32004-01","Extended right hemicolectomy w form stma","32004-00","32004-00",0
"32005-01","Extended right hemicolectomy w anstms","32005-00","32005-00",0
"33116-00","Endovascular repair of aneurysm","90228-00","90228-00",0
"35634-00","Division uterine septum, hysteroscopy","35623-01","35623-01",0
"35643-02","Dilation and evacuation of uterus [D&E]","35643-00","35643-00",0
"35759-00","Control postop haem foll gyn surg NEC","30058-00","30058-00",0
"36529-00","Rad nephrectomy complic prev surg kidny","36528-01","36528-01",0
"36533-00","Nephuretectomy complic prev surg kidny","36531-01","36531-01",0
"36600-02","Formation incontient intest urin resv","36603-01","36603-01",0
"36600-02","Formation incontient intest urin resv","36603-01","36603-00",1
"36600-02","Formation incontient intest urin resv","36603-01","36600-01",2
"36600-02","Formation incontient intest urin resv","36603-01","36600-00",3
"36600-02","Formation incontient intest urin resv","36603-01","90336-00",4
"11240-00","Unidimensional u/s of orbital contents","55055-00","55055-00",0
"11332-00","Click evoked otoacoustic emissions evaln","96060-00","96060-00",0
"11332-01","Distortion prdct otoacous emission evaln","96061-00","96061-00",0
"11332-02","Other otoacoustic emissions evaluation","96062-00","96062-00",0
"16018-00","Admin therapeutic dose 153 SM-Lexidronan","16000-00","16000-00",0
"16501-00","External version","90471-00","90471-00",0
"16501-01","Failed external version","90471-01","90471-01",0
"30023-01","Debride sft tis incl bone or cart","35100-00","35100-00",0
"30023-01","Debride sft tis incl bone or cart","35100-00","35100-01",1
"30335-00","Regional excision lymph nodes of axilla","30332-01","30332-01",0
"30336-00","Radical excision of lymph nodes, axilla","30333-00","30333-00",0
"30344-00","Open biopsy of breast","30342-00","30342-00",0
"30347-00","Excision of lesion of breast","30342-00","30342-00",0
"30347-00","Excision of lesion of breast","30342-00","30346-00",1
"30348-00","Re-excision of lesion of breast","30342-00","30342-00",0
"30348-00","Re-excision of lesion of breast","30342-00","30346-00",1
"30351-00","Simple mastectomy, unilateral","30338-00","30338-00",0
"30351-00","Simple mastectomy, unilateral","30338-00","30338-01",1
"30351-01","Simple mastectomy, bilateral","30338-02","30338-02",0
"30351-01","Simple mastectomy, bilateral","30338-02","30338-03",1
"30354-00","Subcutaneous mastectomy, unilateral","30356-00","30356-00",0
"30354-00","Subcutaneous mastectomy, unilateral","30356-00","30356-01",1
"30354-01","Subcutaneous mastectomy, bilateral","30356-02","30356-02",0
"30354-01","Subcutaneous mastectomy, bilateral","30356-02","30356-03",1
"30375-30","Appendicostomy","30375-00","30375-00",0
"30375-30","Appendicostomy","30375-00","90311-00",1
"30382-01","Perc rep enterocutaneous fist sm intest","90340-00","90340-00",0
"30382-02","Rad rep enterocutaneous fist lrg intest","90340-01","90340-01",0
"30382-03","Perc rep enterocutaneous fist lrg intest","90340-01","90340-01",0
"30478-19","Oesophagoscopy with other coagulation","30479-00","30479-00",0
"36600-02","Formation incontient intest urin resv","36603-01","90336-01",5
"36600-02","Formation incontient intest urin resv","36603-01","30375-01",6
"36600-02","Formation incontient intest urin resv","36603-01","30375-04",7
"36600-02","Formation incontient intest urin resv","36603-01","36606-00",8
"36606-03","Form contint urin resv w atchmt ureth","36606-00","36606-00",0
"36606-03","Form contint urin resv w atchmt ureth","36606-00","36606-01",1
"36606-03","Form contint urin resv w atchmt ureth","36606-00","90361-00",2
"36652-00","Retrograde pyeloscopy","36803-00","36803-00",0
"36652-01","Retrogd pyeloscopy w manip of ren calc","36803-02","36803-02",0
"36654-00","Retrogd pyeloscopy w biopsy of kidney","36561-00","36561-00",0
"36654-01","Retrogd pyeloscopy w diathermy to kidney","36627-03","36627-03",0
"36654-02","Retrogd pyeloscopy w extr of ren calc","36806-02","36806-02",0
"36656-00","Retrogd pyeloscopy w fragmt ren calc","36809-00","36809-00",0
"36656-01","Retrogd pyelosc w fragmt & extr ren calc","36806-02","36806-02",0
"36656-01","Retrogd pyelosc w fragmt & extr ren calc","36806-02","36809-00",1
