"Code","Abbrev Descrip","Logical Map","Historical Map","Sequence Number"
"13292-00","Collection of semen with device under GA","13290-00","13290-00",0
"14106-01","Laser photcoag pulsed vasc lesions w GA","14106-00","14106-00",0
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-99",0
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-90",1
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-19",2
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-10",3
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-29",4
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-20",5
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-39",6
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-30",7
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-49",8
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-40",9
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-59",10
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-50",11
"18213-00","IV regnl anaes upp limb by retrogd perfn","92513-99","92513-69",12
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-99",0
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-90",1
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-19",2
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-10",3
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-29",4
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-20",5
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-39",6
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-30",7
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-49",8
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-40",9
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-59",10
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-50",11
"18213-01","IV regnl anaes low limb by retrogd perfn","92513-99","92513-69",12
"30003-00","Dressing burn wo anaes <10% BSA dressed","30010-00","30010-00",0
"30006-00","Dressing burn wo anaes >=10% BSA dressed","30014-00","30014-00",0
"30017-00","Escharotomy","45054-00","45054-00",0
"30187-00","Removal of plantar wart under GA","30186-00","30186-00",0
"30187-01","Removal of palmar wart under GA","30186-01","30186-01",0
"30189-02","Removal of other wart under GA","30189-01","30189-01",0
