ORDER,ColourName,TagName,HexCode,Hex(Red),Hex(Green),Hex(Blue),RGBCode,RGB(Red),RGB(Green),RGB(Blue),HSBCode,HSB(Red),HSB(Green),HSB(Blue),HSLCode,HSL(Red),HSL(Green),HSL(Blue)
1,Red,olCategoryColorRed,#DC626D,DC,62,6D,"RGB(220,98,109)",220,98,109,"HSB(355,55,86)",355,55,86,"HSL(355,64,62)",355,64,62
2,LightTeal,olCategoryColorTeal,#57D2DA,57,D2,DA,"RGB(87,210,218)",87,210,218,"HSB(184,60,85)",184,60,85,"HSL(184,64,60)",184,64,60
3,LightGray,olCategoryColorSteel,#C5CED1,C5,CE,D1,"RGB(197,206,209)",197,206,209,"HSB(195,6,82)",195,6,82,"HSL(195,12,80)",195,12,80
4,DarkRed,olCategoryColorDarkRed,#AC4E5E,AC,4E,5E,"RGB(172,78,94)",172,78,94,"HSB(350,55,67)",350,55,67,"HSL(350,38,49)",350,38,49
5,Teal,olCategoryColorDarkTeal,#4BB4B7,4B,B4,B7,"RGB(75,180,183)",75,180,183,"HSB(182,59,72)",182,59,72,"HSL(182,43,51)",182,43,51
6,Orange,olCategoryColorOrange,#E8825D,E8,82,5D,"RGB(232,130,93)",232,130,93,"HSB(16,60,91)",16,60,91,"HSL(16,75,64)",16,75,64
7,LimeGreen,olCategoryColorOlive,#B6D767,B6,D7,67,"RGB(182,215,103)",182,215,103,"HSB(78,52,84)",78,52,84,"HSL(78,58,62)",78,58,62
8,Steel,olCategoryColorDarkSteel,#4497A9,44,97,A9,"RGB(68,151,169)",68,151,169,"HSB(191,60,66)",191,60,66,"HSL(191,43,46)",191,43,46
9,DarkOrange,olCategoryColorDarkOrange,#DF8E64,DF,8E,64,"RGB(223,142,100)",223,142,100,"HSB(20,55,87)",20,55,87,"HSL(20,66,63)",20,66,63
10,Green,olCategoryColorDarkOlive,#85B44C,85,B4,4C,"RGB(133,180,76)",133,180,76,"HSB(87,58,71)",87,58,71,"HSL(87,41,50)",87,41,50
11,Peach,olCategoryColorPeach,#FFCD8F,FF,CD,8F,"RGB(225,205,143)",225,205,143,"HSB(33,44,100)",33,44,100,"HSL(33,100,78)",33,100,78
12,Blue,olCategoryColorBlue,#5CA9E5,5C,A9,E5,"RGB(92,169,229)",92,169,229,"HSB(206,60,90)",206,60,90,"HSL(206,72,63)",206,72,63
13,WarmGray,olCategoryColorGray,#C3C5BB,C3,C5,BB,"RGB(195,197,187)",195,197,187,"HSB(72,5,77)",72,5,77,"HSL(72,8,75)",72,8,75
14,Brown,olCategoryColorDarkPeach,#BC8F6F,BC,8F,6F,"RGB(188,143,111)",188,143,111,"HSB(25,41,74)",25,41,74,"HSL(25,36,59)",25,36,59
15,NavyBlue,olCategoryColorDarkBlue,#4179A3,41,79,A3,"RGB(65,121,163)",65,121,163,"HSB(206,60,64)",206,60,64,"HSL(206,43,45)",206,43,45
16,Yellow,olCategoryColorYellow,#FDEE65,FD,EE,65,"RGB(253,236,101)",253,236,101,"HSB(54,60,99)",54,60,99,"HSL(54,97,69)",54,97,69
17,Lavender,olCategoryColorPurple,#B1AAEB,B1,AA,EB,"RGB(177,170,235)",177,170,235,"HSB(246,28,92)",246,28,92,"HSL(246,62,79)",246,62,79
18,Gray,olCategoryColorDarkGray,#9FADB1,9F,AD,B1,"RGB(159,173,177)",159,173,177,"HSB(193,10,69)",193,10,69,"HSL(193,10,66)",193,10,66
19,Gold,olCategoryColorDarkYellow,#DAC257,DA,C2,57,"RGB(218,194,87)",218,194,87,"HSB(49,60,85)",49,60,85,"HSL(49,64,60)",49,64,60
20,DarkPurple,olCategoryColorDarkPurple,#A589CB,A5,89,CB,"RGB(165,137,203)",165,137,203,"HSB(265,33,80)",265,33,80,"HSL(265,39,67)",265,39,67
21,LightGreen,olCategoryColorGreen,#52CE90,52,CE,90,"RGB(82,206,144)",82,206,144,"HSB(150,60,81)",150,60,81,"HSL(150,56,56)",150,56,56
22,Magenta,olCategoryColorMaroon,#EE5FB7,EE,5F,B7,"RGB(238,95,183)",238,95,183,"HSB(323,60,93)",323,60,93,"HSL(323,81,65)",323,81,65
23,DarkGray,olCategoryColorBlack,#8F8F8F,8F,8F,8F,"RGB(143,143,143)",143,143,143,"HSB(300,0,56)",300,0,56,"HSL(300,0,56)",300,0,56
24,DarkGreen,olCategoryColorDarkGreen,#4CA64C,4C,A6,4C,"RGB(76,166,76)",76,166,76,"HSB(120,54,65)",120,54,65,"HSL(120,37,47)",120,37,47
25,DarkPink,olCategoryColorDarkMaroon,#C34E98,C3,4E,98,"RGB(195,78,152)",195,78,152,"HSB(322,60,76)",322,60,76,"HSL(322,49,54)",322,49,54
