ID,DATE,Month,Country,Event
1,01/01/2025,January,Cuba,Liberation Day
2,01/01/2025,January,Haiti,Independence Day
3,01/01/2025,January,Sudan,National Day
4,04/01/2025,January,"Myanmar, Republic of The Union Of",Independence Day
5,26/01/2025,January,Australia,Australia Day
6,31/01/2025,January,Nauru,National Day
7,04/02/2025,February,Sri Lanka,Independence Commemoration Day
8,06/02/2025,February,New Zealand,Waitangi Day
9,07/02/2025,February,Grenada,Independence Day
10,11/02/2025,February,Iran (Islamic Republic Of),Victory of the Islamic Revolution in Iran
11,15/02/2025,February,Serbia,National Day
12,16/02/2025,February,Lithuania,Independence Day
13,17/02/2025,February,Kosovo,Independence Day
14,18/02/2025,February,The Gambia,National Day
15,22/02/2025,February,Saint Lucia,National Day
16,23/02/2025,February,Brunei Darussalam,National Day
17,23/02/2025,February,Guyana,National Day
18,23/02/2025,February,Japan,Emperor's Birthday
19,24/02/2025,February,Estonia,Independence Day
20,25/02/2025,February,Kuwait,National Day
21,27/02/2025,February,Dominican Republic,Independence Day
22,03/03/2025,March,Bulgaria,National Day
23,06/03/2025,March,Ghana,Independence Day
24,12/03/2025,March,Mauritius,National Day
25,13/03/2025,March,Holy See,"Anniversary, Pontifical Ministry of His Holiness Pope Francis"
26,17/03/2025,March,Ireland,St Patrick's Day
27,20/03/2025,March,Tunisia,Anniversary of the Independence of the Republic of Tunisia
28,21/03/2025,March,Namibia,Independence Day
29,23/03/2025,March,Pakistan,National Day
30,25/03/2025,March,Greece,Independence Day
31,26/03/2025,March,Bangladesh,Independence Day
32,04/04/2025,April,Senegal,Independence Day
33,17/04/2025,April,Syrian Arab Republic,National Day
34,18/04/2025,April,Zimbabwe,National Day
35,26/04/2025,April,"Tanzania, United Republic Of",Union Day
36,27/04/2025,April,Netherlands,Official Birthday of His Majesty King Wilem-Alexander
37,27/04/2025,April,Sierra Leone,Independence Day
38,27/04/2025,April,South Africa,Freedom Day
39,27/04/2025,April,Togo,Togolais National Day
40,01/05/2025,May,Marshall Islands,National Day
41,03/05/2025,May,Poland,National Day
42,08/05/2025,May,Israel,National Day
43,09/05/2025,May,European Union,Europe Day
44,14/05/2025,May,Paraguay,National Day
45,17/05/2025,May,Norway,Constitution Day
46,20/05/2025,May,Cameroon,National Day
47,20/05/2025,May,Timor-Leste,Restoration of Independence
48,22/05/2025,May,Yemen,Unification Day
49,24/05/2025,May,Ecuador,Ecuador's Independence Day
50,24/05/2025,May,Eritrea,Independence Day
51,25/05/2025,May,Africa Union,Africa Day
52,25/05/2025,May,Argentina,National Day
53,25/05/2025,May,Jordan,Independence Day
54,26/05/2025,May,Denmark,King's Birthday
55,26/05/2025,May,Georgia,National Day
56,28/05/2025,May,Azerbaijan,National Day
57,28/05/2025,May,Ethiopia,National Day
58,30/05/2025,May,Croatia,Statehood Day
59,01/06/2025,June,Samoa,Independence Day
60,02/06/2025,June,Italy,Foundation of the Republic
61,06/06/2025,June,Sweden,National Day
62,10/06/2025,June,Portugal,"Portugal Day, Camões Day and Day of Portuguese Communities"
63,12/06/2025,June,Philippines,Independence Day
64,12/06/2025,June,Russian Federation,National Day
65,17/06/2025,June,Iceland,National Day
66,18/06/2025,June,Seychelles,National Day
67,23/06/2025,June,Luxembourg,National Day and Official Birthday of HRH the Grand Duke
68,25/06/2025,June,Mozambique,Independence Day
69,25/06/2025,June,Slovenia,National Day
70,26/06/2025,June,Madagascar,National Day
71,27/06/2025,June,Djibouti,Independence Day
72,30/06/2025,June,Democratic Republic of the Congo,Independence Day
73,01/07/2025,July,Burundi,National Day
74,01/07/2025,July,Canada,Canada Day
75,01/07/2025,July,Somalia,National Day
76,03/07/2025,July,Belarus,National Day
77,04/07/2025,July,United States of America,Independence Day
78,05/07/2025,July,Cape Verde,National Day
79,05/07/2025,July,Rwanda,Liberation Day
80,05/07/2025,July,Venezuela,National Day
81,06/07/2025,July,Comoros,National Day
82,06/07/2025,July,Malawi,National Day
83,07/07/2025,July,Solomon Islands,National Day
84,09/07/2025,July,South Sudan,Independence Day
85,10/07/2025,July,Bahamas,Independence Day
86,11/07/2025,July,Mongolia,Anniversary of Mongolian People's Revolution
87,12/07/2025,July,Kiribati,National Day
88,12/07/2025,July,Sao Tome and Principe,National Day
89,13/07/2025,July,Montenegro,National Day
90,14/07/2025,July,France,Bastille Day
91,20/07/2025,July,Colombia,National Day
92,21/07/2025,July,Belgium,Accession of King Leopold I (1831)
93,23/07/2025,July,Egypt,Anniversary of Revolution of 23 July
94,26/07/2025,July,Liberia,National Day
95,26/07/2025,July,Maldives,National Day
96,28/07/2025,July,Peru,Independence Day
97,30/07/2025,July,Morocco,Throne Day
98,30/07/2025,July,Vanuatu,Independence Day
99,01/08/2025,August,Benin,National Day
100,01/08/2025,August,Switzerland,Foundation of the Swiss Confederation
101,04/08/2025,August,Cook Islands,Constitution Day
102,06/08/2025,August,Bolivia,Independence Day
103,06/08/2025,August,Jamaica,National Day
104,07/08/2025,August,Côte d’Ivoire,National Day
105,09/08/2025,August,Singapore,National Day
106,11/08/2025,August,Chad,National Day
107,15/08/2025,August,"Congo, Republic of",Independence Day
108,15/08/2025,August,India,Independence Day
109,15/08/2025,August,Liechtenstein,National Day
110,17/08/2025,August,Gabon,National Day
111,17/08/2025,August,Indonesia,Proclamation of Independence
