UID,DTSTAMP,DTSTART,DTEND,DURATION,SUMMARY,DESCRIPTION,LOCATION,STATUS,CLASS,TRANSP,PRIORITY,SEQUENCE,RRULE,EXDATE,RDATE,ATTENDEE,ORGANIZER,CATEGORIES,CREATED,LAST-MODIFIED,URL,ATTACH,Validation_Flag
1,,20250101T000000Z,20250101T000000Z,P1D,Independence Day (Haiti),National Day of Haiti,Haiti,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
2,,20250101T000000Z,20250101T000000Z,P1D,Independence Day (Sudan),National Day of Sudan,Sudan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
3,,20250101T000000Z,20250101T000000Z,P1D,Liberation Day (Cuba),National Day of Cuba,Cuba,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
4,20250826T1348,20250101T000000Z,20250101T000000Z,P1D,New Year's Day,New Year's Day is the first day of the Gregorian calendar. It is often celebrated with fireworks and parades.,Internantional,,,,,,,,,,,,,20250826T1348,,,
5,20250826T1348,20250101T000000Z,20250102T000000Z,P2D,Feast of St Basil,"St Basil is considered one of the great leaders and thinkers of the Orthodox Christian Church. In many Greek homes, a special cake is baked on the eve of St Basil's Day with a gold or silver coin hidden inside. Similar traditions exist for Western Christian Churches.",Christianity,,,,,,,,,,,,,20250826T1348,,,
6,,20250104T000000Z,20250104T000000Z,P1D,"Independence Day (Myanmar, Republic of The Union Of)","National Day of Myanmar, Republic of The Union Of","Myanmar, Republic of The Union Of",,,,,,,,,,,,,,,,REQUIRES_VALIDATION
7,20250826T1348,20250106T000000Z,20250106T000000Z,P1D,Epiphany,Epiphany commemorates the manifestation of God in human form as Jesus Christ.,Christianity,,,,,,,,,,,,,20250826T1348,,,
8,20250826T1348,20250106T000000Z,20250106T000000Z,P1D,Gurpurab of Guru Gobind Singh Ji,"Sikh communities celebrate the birthday of the 10th Guru, Guru Gobind Singh (born in 1666).",Sikhism,,,,,,,,,,,,,20250826T1348,,,
9,20250826T1348,20250107T000000Z,20250107T000000Z,P1D,Orthodox Christmas,"Orthodox Christmas is celebrated by around 260 million people globally. Orthodox Christians celebrate Christmas on January 7, following the Julian calendar.",Orthodox,,,,,,,,,,,,,20250826T1348,,,
10,20250826T1348,20250107T000000Z,20250107T000000Z,P1D,The Holy Nativity Feast,Orthodox Churches that use the Julian Calendar celebrate Christmas on this day. Some traditions observe a week-long period of holidays from 1 January.,Orthodox,,,,,,,,,,,,,20250826T1348,,,
11,20250826T1348,20250114T000000Z,20250114T000000Z,P1D,Thai Pongal,"Thai Pongal is a multi-day Hindu harvest festival celebrated by Tamils in India and Sri Lanka. It is observed at the start of the month Thai in the Tamil solar calendar, and is dedicated to the Hindu sun god Surya.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
12,20250826T1348,20250114T000000Z,20250117T000000Z,P3D,Pongal (Hinduism - Tamil† people in India & Sri Lanka),Pongal is a four-day harvest festival celebrated as a giving ceremony for the year's harvest.,Hinduism,,,,,,,,,,,,,20250826T1348,,,
13,20250826T1348,20250119T000000Z,20250119T000000Z,P1D,Epiphany (Orthodox),Epiphany commemorates the manifestation of God in human form as Jesus Christ.,Orthodox,,,,,,,,,,,,,20250826T1348,,,
14,20250826T1348,20250119T000000Z,20250119T000000Z,P1D,World Religion Day,World Religion Day is observed in over 80 countries. It aims to foster interfaith understanding and harmony by emphasising the common elements to all religions.,International,,,,,,,,,,,,,20250826T1348,,,
15,20250826T1348,20250119T000000Z,20250209T000000Z,P21D,Midsumma Festival†(Australia) ,"Midsumma is Australia's premier queer arts and cultural organisation, bringing together a diverse mix of LGBTQIA+ artists, performers, communities and audiences'.",Australia,,,,,,,,,,,,,20250826T1348,,,
16,20250826T1348,20250126T000000Z,20250126T000000Z,P1D,Australia Day,"Australia Day provides an opportunity for all Australians to reflect, respect and celebrate. It is about acknowledging the contribution every Australian makes to our diverse nation, from Aboriginal and Torres Strait Islander peoples who have been here for more than 65,000 years, to those whose families have come through the waves of migration over more recent centuries.",Australia,,,,,,,,,,,,,20250826T1348,,,
17,20250826T1348,20250127T000000Z,20250127T000000Z,P1D,International Holocaust Remembrance Day,"Holocaust Remembrance Day is a memorial for the six million Jews killed by the Nazis between 1933 and 1945. Many people of Jewish and other faiths observe this day. It was designated by a United Nations General Assembly resolution on 1 November 2005. Many countries have instituted their own Holocaust Memorial Days. Other Holocaust memorial days, such as Israel's Yom HaShoah, are observed at other times of the year.",International,,,,,,,,,,,,,20250826T1348,,,
18,20250826T1348,20250129T000000Z,20250129T000000Z,P1D,Chinese Lunar New Year,"For Chinese communities across the world, the Lunar New Year is one of the most important holidays of the year. It is celebrated through a range of traditional customs. These include ancestor worship, family gatherings, special foods and gift exchanges.",Internantional,,,,,,,,,,,,,20250826T1348,,,
19,20250826T1348,20250129T000000Z,20250129T000000Z,P1D,Lunar New Year,Various East and Southeast Asian cultures and traditions celebrate Lunar New Year. Family gatherings are common features across cultures. People travel from near and far to be with loved ones in time to welcome the new year.,International,,,,,,,,,,,,,20250826T1348,,,
20,20250826T1348,20250129T000000Z,20250129T000000Z,P1D,Seollal (Korean Lunar New Year - Year of the Snake),"Known in the Koreas as Seollal, Lunar New Year typically lasts three days (the day before and after the New Year). Centred on†charye†""ì paying respect to elders ""ì the new year is a time to remember a shared heritage and look forward to the future.",Korea,,,,,,,,,,,,,20250826T1348,,,
21,20250826T1348,20250129T000000Z,20250129T000000Z,P1D,Tet (Vietnamese Lunar New Year - Year of the Wood Snake),"Tet is considered the first day of Vietnam's spring, a time marked by new beginnings. Tet includes ancestor worship, family gatherings, special foods and gift exchanges.",Vietnam,,,,,,,,,,,,,20250826T1348,,,
22,20250826T1348,20250129T000000Z,20250212T000000Z,P14D,"Spring Festival (Chinese Chunjie; Vietnamese Tet Festival, Korean Solnal; Tibetan Losar; etc.)","The Spring Festival marks a new year on the Lunar Calendar. It is celebrated in several Asian countries. Buddhist, Confucian, and Taoist practitioners celebrate this festival.",several Asian countries,,,,,,,,,,,,,20250826T1348,,,
23,,20250131T000000Z,20250131T000000Z,P1D,National Day (Nauru),National Day of Nauru,Nauru,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
24,20250826T1348,20250201T000000Z,20250207T000000Z,P6D,World Interfaith Harmony Week (International),"Proclaimed by the UN General Assembly in 2010, World Interfaith Harmony week was conceived to† promote a culture of peace and harmony between all people regardless of their faith.†",International,,,,,,,,,,,,,20250826T1348,,,
25,,20250204T000000Z,20250204T000000Z,P1D,Independence Day (Sri Lanka),National Day of Sri Lanka,Sri Lanka,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
26,20250826T1348,20250206T000000Z,20250206T000000Z,P1D,Waitangi Day (New Zealand),The national day of New Zealand is the anniversary of the initial signing of the Treaty of Waitangi.,New Zealand,,,,,,,,,,,,,20250826T1348,,,
27,,20250207T000000Z,20250207T000000Z,P1D,Independence Day (Grenada),National Day of Grenada,Grenada,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
28,20250826T1348,20250210T000000Z,20250210T000000Z,P1D,Royal Hobart Regatta,Tasmania regional holiday,Australia (TAS),,,,,,,,,,,,,20250826T1348,,,
29,,20250211T000000Z,20250211T000000Z,P1D,Victory of the Islamic Revolution in Iran (Iran (Islamic Republic Of)),National Day of Iran (Islamic Republic Of),Iran (Islamic Republic Of),,,,,,,,,,,,,,,,REQUIRES_VALIDATION
30,20250826T1348,20250212T000000Z,20250212T000000Z,P1D,Magha Puja Day (Buddhism),"Also known as Sangha Day, this day celebrates the community of followers of the teachings of Buddha (Theravada tradition).",Buddhism,,,,,,,,,,,,,20250826T1348,,,
31,20250826T1348,20250212T000000Z,20250212T000000Z,P1D,Makha Bucha (Magha Puja),"Makha Bucha is a Buddhist Festival celebrated in Cambodia, Laos, Thailand and Myanmar on the full moon day of the third lunar month.",Buddhism,,,,,,,,,,,,,20250826T1348,,,
32,20250826T1348,20250212T000000Z,20250212T000000Z,P1D,Yuanxiao (Lantern Festival),"The Chinese Lantern Festival is held on the 15th day of the first lunar month, two weeks after Chinese New Year. It marks the first full moon of the new lunar year and the end of the Chinese New Year (Spring Festival) period.",International,,,,,,,,,,,,,20250826T1348,,,
33,20250826T1348,20250213T000000Z,20250213T000000Z,P1D,Anniversary of National Apology Day,"On 13 February 2008, Prime Minister Kevin Rudd delivered the National Apology to Australia's Aboriginal peoples and Torres Strait Islander peoples for the injustices of past government policies, particularly to the Stolen Generations.",Australia,,,,,,,,,,,,,20250826T1348,,,
34,20250826T1348,20250213T000000Z,20250213T000000Z,P1D,Anniversary of the Apology to members of the Stolen Generations,"On 13 February 2008, the Australian Parliament made a formal apology to members of the Stolen Generation.",Australia,,,,,,,,,,,,,20250826T1348,,,
35,20250826T1348,20250214T000000Z,20250214T000000Z,P1D,Valentine's Day,,Internantional,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
36,20250826T1348,20250215T000000Z,20250215T000000Z,P1D,Nirvana Day (Parinirvana Day),Nirvana Day is an annual Buddhist festival that remembers the death of the Buddha when he reached Nirvana at the age of 80.,Buddhism,,,,,,,,,,,,,20250826T1348,,,
37,,20250215T000000Z,20250215T000000Z,P1D,Statehood Day (Serbia),National Day of Serbia,Serbia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
38,,20250216T000000Z,20250216T000000Z,P1D,Independence Day (Lithuania),National Day of Lithuania,Lithuania,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
39,,20250217T000000Z,20250217T000000Z,P1D,Independence Day (Kosovo),National Day of Kosovo,Kosovo,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
40,,20250218T000000Z,20250218T000000Z,P1D,Independence Day (The Gambia),National Day of The Gambia,The Gambia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
41,20250826T1348,20250220T000000Z,20250220T000000Z,P1D,World Day of Justice,World Day of Justice aims to promote justice issues across the globe. It includes efforts to tackle poverty exclusion and unemployment. It also aims to foster solidarity in pursuit of social development and justice within and among nations.,International,,,,,,,,,,,,,20250826T1348,,,
42,20250826T1348,20250220T000000Z,20250220T000000Z,P1D,World Day of Social Justice,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
43,20250826T1348,20250221T000000Z,20250221T000000Z,P1D,International Mother Language Day,The United Nations' International Mother Language Day celebrates linguistic and cultural diversity.,International,,,,,,,,,,,,,20250826T1348,,,
44,20250826T1348,20250221T000000Z,20250221T000000Z,P1D,International Mother Language Day ,The Day celebrates language diversity and variety worldwide. Its purpose is 'to promote the preservation and protection of all languages† used by peoples of the world.'†,International,,,,,,,,,,,,,20250826T1348,,,
45,,20250222T000000Z,20250222T000000Z,P1D,Independence Day (Saint Lucia),National Day of Saint Lucia,Saint Lucia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
46,,20250223T000000Z,20250223T000000Z,P1D,Emperor's Birthday (Japan),National Day of Japan,Japan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
47,,20250223T000000Z,20250223T000000Z,P1D,National Day (Brunei Darussalam),National Day of Brunei Darussalam,Brunei Darussalam,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
48,,20250223T000000Z,20250223T000000Z,P1D,National Day (Guyana),National Day of Guyana,Guyana,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
49,,20250224T000000Z,20250224T000000Z,P1D,Independence Day (Estonia),National Day of Estonia,Estonia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
50,20250826T1348,20250224T000000Z,20250302T000000Z,P7D,Masnytsia/Maslenitsa,Masnytsia/Maslenitsa is an Eastern Slavic religious and folk festival. It has roots in the Slavic pagan tradition of bidding farewell to winter. It is widely celebrated in various Eastern Slavic communities during the last week before Great Lent.,Orthodox,,,,,,,,,,,,,20250826T1348,,,
51,,20250225T000000Z,20250225T000000Z,P1D,National Day (Kuwait),National Day of Kuwait,Kuwait,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
52,20250826T1348,20250226T000000Z,20250226T000000Z,P1D,Maha Shivaratri,"Maha Shivaratri is a festival honouring the Hindu god, Lord Shiva.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
53,,20250227T000000Z,20250227T000000Z,P1D,Independence Day (Dominican Republic),National Day of Dominican Republic,Dominican Republic,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
54,20250826T1348,20250227T000000Z,20250329T000000Z,P31D,Ramadan,"Ramadan is the most auspicious month in the Islamic Calendar. It is the month the first verses of the Qur'an were revealed to the Prophet Muhammad. During Ramadan, Muslims around the world fast from sunrise to sunset. This date is confirmed by religious authorities closer to the date.",Islam,,,,,,,,,,,,,20250826T1348,,,
55,20250826T1348,20250228T000000Z,20250302T000000Z,P3D,Lhosar (Tibetan New Year),"Lhosar is a festival in Tibetan Buddhism, celebrated on various dates depending on location (Tibet, Bhutan, Nepal and India). It is a new year's festival, celebrated on the first day of the lunisolar Tibetan calendar. This corresponds to a date in February or March in the Gregorian calendar.",Buddhism,,,,,,,,,,,,,20250826T1348,,,
56,20250826T1348,20250301T000000Z,20250301T000000Z,P1D,Disability Day of Mourning†(International) ,Every year the disability community comes together to remember the victims of filicide. Vigils are held in cities around the world.,International,,,,,,,,,,,,,20250826T1348,,,
57,20250826T1348,20250301T000000Z,20250301T000000Z,P1D,St David's Day,"St David is the patron saint of Wales. St David's Day has been a national celebration for the Welsh community since the 18th century. Celebrations feature parades, festivities and singing.",Wales,,,,,,,,,,,,,20250826T1348,,,
58,20250826T1348,20250301T000000Z,20250301T000000Z,P1D,Zero Discrimination Day (International),"The day celebrates the right of everyone to live a full and productive life - and live it with dignity.† The Day highlights how people can† become informed about and promote inclusion, compassion, peace and, above all, a movement for change.",International,,,,,,,,,,,,,20250826T1348,,,
59,20250826T1348,20250302T000000Z,20250302T000000Z,P1D,Clean Up Australia Day,,Australia,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
60,20250826T1348,20250302T000000Z,20250315T000000Z,P13D,NSW Seniors Festival,,Australia (NSW),,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
61,,20250303T000000Z,20250303T000000Z,P1D,National Day (Bulgaria),National Day of Bulgaria,Bulgaria,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
62,20250826T1348,20250304T000000Z,20250304T000000Z,P1D,Shrove Tuesday,Shrove Tuesday is the English name for the last day before Lent in the Christian calendar. Many Christian communities mark this day by participating in confession and absolution. It can also include the ritual burning of the previous year's Holy Week palms and finalising one's Lenten sacrifice. Other activities include eating pancakes and other sweets. In some countries it is known as Mardi Gras (French for 'Fat Tuesday'). In Spanish and Portuguese countries it is called Carnival. Famous celebrations include the Brazilian Carnival in Rio De Janeiro and the New Orleans Mardi Gras.,Christianity,,,,,,,,,,,,,20250826T1348,,,
63,20250826T1348,20250305T000000Z,20250305T000000Z,P1D,Ash Wednesday (Lent begins),Ash Wednesday is the first day of Lent in the Christian calendar. Lent involves 40 days of fasting and reflection that concludes with Easter.,Christianity,,,,,,,,,,,,,20250826T1348,,,
64,,20250306T000000Z,20250306T000000Z,P1D,Independence Day (Ghana),National Day of Ghana,Ghana,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
65,20250826T1348,20250307T000000Z,20250307T000000Z,P1D,International Women's Day ,"A global day celebrating the social, economic, cultural† and political achievements of women.",International,,,,,,,,,,,,,20250826T1348,,,
66,20250826T1348,20250308T000000Z,20250308T000000Z,P1D,International Women's Day,"International Women's celebrates the social, economic, cultural and political achievements of women.",International,,,,,,,,,,,,,20250826T1348,,,
67,20250826T1348,20250310T000000Z,20250310T000000Z,P1D,Adelaide Cup,South Australia regional holiday,Australia (SA),,,,,,,,,,,,,20250826T1348,,,
68,20250826T1348,20250310T000000Z,20250310T000000Z,P1D,Canberra Day,Australian Capital Territory regional holiday,Australia,,,,,,,,,,,,,20250826T1348,,,
69,20250826T1348,20250310T000000Z,20250310T000000Z,P1D,Eight Hour Day,Tasmania regional holiday,Australia (TAS),,,,,,,,,,,,,20250826T1348,,,
70,,20250312T000000Z,20250312T000000Z,P1D,National Day (Mauritius),National Day of Mauritius,Mauritius,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
71,20250826T1348,20250313T000000Z,20250314T000000Z,P2D,Purim,"Purim commemorates the time when the Jewish people living in the ancient Achaemenid Persian empire were saved from extermination by a courageous young Jewish woman named Esther and her uncle and adviser Mordechai. As with other Jewish holy days, Purim is commemorated from sunset.",Judaism,,,,,,,,,,,,,20250826T1348,,,
72,20250826T1348,20250314T000000Z,20250314T000000Z,P1D,Holi (Festival of Colours),Holi is a Hindu festival celebrated since ancient times to welcome spring and is seen as a new beginning. People cover each other with coloured water and bright powders.,Hinduism,,,,,,,,,,,,,20250826T1348,,,
73,20250826T1348,20250314T000000Z,20250314T000000Z,P1D,World Sleep Day ,"World Sleep Day celebrates the benefits of good and healthy sleep and draws attention to the burden of sleep problems and their medical, educational, and social aspects.†",International,,,,,,,,,,,,,20250826T1348,,,
74,20250826T1348,20250317T000000Z,20250317T000000Z,P1D,St Patrick's Day (Ireland),This day is Ireland's National Day. St†Patrick is the patron saint of Ireland. He brought Christianity to Ireland in the early days of the faith.,Ireland,,,,,,,,,,,,,20250826T1348,,,
75,20250826T1348,20250317T000000Z,20250323T000000Z,P6D,"Cultural Diversity Week (Victoria, Australia)","Cultural Diversity Week features a program of festivals and events highlighting Victoria's cultural, linguistic and religious diversity.†",Australia (Victoria),,,,,,,,,,,,,20250826T1348,,,
76,20250826T1348,20250317T000000Z,20250323T000000Z,P7D,Harmony Week,"Harmony Week celebrates the cohesive and inclusive nature of our diverse nation. Schools, community groups and organisations across Australia host Harmony Week events.",Australia,,,,,,,,,,,,,20250826T1348,,,
77,20250826T1348,20250318T000000Z,20250318T000000Z,P1D,World Social Work Day,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
78,,20250320T000000Z,20250320T000000Z,P1D,Independence Day (Tunisia),National Day of Tunisia,Tunisia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
79,20250826T1348,20250320T000000Z,20250320T000000Z,P1D,International Day of Happiness,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
80,20250826T1348,20250320T000000Z,20250320T000000Z,P1D,National Close the Gap Day,National Close the Gap Day aims to raise awareness about the health and life expectancy gap between Indigenous and non-Indigenous Australians.,Australia,,,,,,,,,,,,,20250826T1348,,,
81,20250826T1348,20250320T000000Z,20250320T000000Z,P1D,"Naw-Ruz, Nowruz (Baha'i)","Naw Ruz is the Baha'i New Year festival, marking the first day in the Baha'i calendar. It also marks the end of the 19-day Baha'i Fast and symbolises the new life of spring. Work is suspended on this day.",Baha'i,,,,,,,,,,,,,20250826T1348,,,
82,20250826T1348,20250320T000000Z,20250320T000000Z,P1D,Nowruz (New Year),"Nowruz means -new day' in Farsi. It is a traditional festival of spring that has been celebrated for more than 3000 years. The ancient celebration of Nowruz is shared by many peoples from Iran, Afghanistan, Iraq, and others in the Black Sea basin, the Balkans, the Caucasus and Western, Central and Southern Asia. This festival has a number of different spellings.",International,,,,,,,,,,,,,20250826T1348,,,
83,,20250321T000000Z,20250321T000000Z,P1D,Independence Day (Namibia),National Day of Namibia,Namibia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
84,20250826T1348,20250321T000000Z,20250321T000000Z,P1D,International Day for the Elimination of Racial Discrimination,"The International Day for the Elimination of Racial Discrimination is observed on 21†March. On that day in 1960, police opened fire at a peaceful demonstration in Sharpeville, South Africa, against the apartheid pass laws; 69 people were killed, and 180 were injured.",International,,,,,,,,,,,,,20250826T1348,,,
85,20250826T1348,20250321T000000Z,20250321T000000Z,P1D,International Day for the Elimination of Racial Discrimination ,"Also known as -End racism day', it is -observed annually on the day the police in Sharpeville, South Africa, opened fire and killed 69 people at a peaceful demonstration against apartheid ""pass laws""ù in 1960'.†",International,,,,,,,,,,,,,20250826T1348,,,
86,20250826T1348,20250321T000000Z,20250321T000000Z,P1D,World Down Syndrome Day ,Celebrates the lives and achievements of people with Down syndrome. The Day provides an opportunity to raise awareness about the rights and inclusion of people with Down syndrome.†,International,,,,,,,,,,,,,20250826T1348,,,
87,,20250323T000000Z,20250323T000000Z,P1D,National Day (Pakistan),National Day of Pakistan,Pakistan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
88,20250826T1348,20250323T000000Z,20250323T000000Z,P1D,Shaheed Day,Bangladesh holds Shaheed Day each year in memory of the bravery and death of Dhaka University students who fought to keep Bengali as the national language.,Bengali,,,,,,,,,,,,,20250826T1348,,,
89,,20250325T000000Z,20250325T000000Z,P1D,Independence Day (Greece),National Day of Greece,Greece,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
90,,20250326T000000Z,20250326T000000Z,P1D,Independence Day (Bangladesh),National Day of Bangladesh,Bangladesh,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
91,20250826T1348,20250330T000000Z,20250330T000000Z,P1D,Ugadi (Telugu New Year),"Ugadi or Yugadi, also known as SamvatsarƒÅdi (meaning 'beginning of the year'), is New Year's Day according to the Hindu calendar. It is celebrated in the states of Andhra Pradesh, Telangana, Karnataka, Tamil Nadu and Goa in India.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
92,20250826T1348,20250330T000000Z,20250331T000000Z,P2D,Eid al Fitr,"The Islamic month of fasting, Ramadan, ends with the festival of Eid al Fitr. A celebratory meal breaks the fast, and good deeds have special significance during this time. Eid is also a time of forgiveness and making amends. The observance is subject to the sighting of the moon.",Islam,,,,,,,,,,,,,20250826T1348,,,
93,20250826T1348,20250331T000000Z,20250331T000000Z,P1D,International Transgender Day of Visibility ,"Trans Day of Visibility is an annual international celebration of trans pride and awareness, recognising trans and gender diverse experiences and achievements.†",International,,,,,,,,,,,,,20250826T1348,,,
94,20250826T1348,20250401T000000Z,20250401T000000Z,P1D,Kha b-Nisan (Assyrian and Chaldean New Year),"Kha b-Nisan (also known as Akitu) is the traditional New Year celebration of the Assyrian, Chaldean, and some Syriac communities. It marks the beginning of the Assyrian calendar and has roots in ancient Mesopotamian civilisation.",Assyrian and Chaldean,,,,,,,,,,,,,20250826T1348,,,
