Section,Name,Hex,,
Primary,themeDarker,#630707,,
Primary,themeDark,#860909,,
Primary,themeDarkAlt,#9e0b0b,,
Primary,themePrimary,#B10D0D,,
Primary,themeSecondary,#b92222,,
Primary,themeTertiary,#d05c5c,,
Primary,themeLight,#e7a7a7,,
Primary,themeLighter,#f2cece,,
Primary,themeLighterAlt,#fcf2f2,,
Foreground,black,#100101,,
Foreground,neutralDark,#0e0101,,
Foreground,neutralPrimary,#110101,,
Foreground,neutralPrimaryAlt,#0a0101,,
Foreground,neutralSecondary,#080000,,
Foreground,neutralTertiary,#060000,,
Foreground,white,#Facdcd,,
Background,neutralTertiaryAlt,#c4a1a1,,
Background,neutralDark,#0e0101,,
Background,neutralQuaternaryAlt,#d6afaf,,
Background,neutralLight,#e5bcbc,,
Background,neutralLighter,#efc4c4,,
Background,neutralLighterAlt,#f3c7c7,,
