"Code","Abbrev Descrip","Logical Map","Historical Map","Sequence Number"
"E09.01","Impair gluc reg w perph angpthy wo gangr","R73.0","R73.0",0
"E09.02","Impair gluc reg w perph angpthy w gangr","R73.0","R73.0",0
"E09.1","Impair gluc reg w features insln resist","R73.0","R73.0",0
"E09.8","Impair gluc reg w unspec complication","R73.0","R73.0",0
"E09.9","Impaired glucose regulation without comp","R73.0","R73.0",0
"E10.53","Type 1 DM w diab ischmc cardiomyopathy","E10.59","E10.59",0
"E10.65","Type 1 DM with poor control","E10.9","E10.9",0
"E10.65","Type 1 DM with poor control","E10.9","E10.8",1
"E10.65","Type 1 DM with poor control","E10.9","E10.11",2
"E10.65","Type 1 DM with poor control","E10.9","E10.12",3
"E10.65","Type 1 DM with poor control","E10.9","E10.13",4
"E10.65","Type 1 DM with poor control","E10.9","E10.14",5
"E10.65","Type 1 DM with poor control","E10.9","E10.15",6
"E10.65","Type 1 DM with poor control","E10.9","E10.16",7
"E10.65","Type 1 DM with poor control","E10.9","E10.20",8
"E10.65","Type 1 DM with poor control","E10.9","E10.21",9
"E10.65","Type 1 DM with poor control","E10.9","E10.22",10
"E10.65","Type 1 DM with poor control","E10.9","E10.23",11
"E10.65","Type 1 DM with poor control","E10.9","E10.29",12
"E10.65","Type 1 DM with poor control","E10.9","E10.30",13
"E10.65","Type 1 DM with poor control","E10.9","E10.31",14
"E10.65","Type 1 DM with poor control","E10.9","E10.32",15
"E10.65","Type 1 DM with poor control","E10.9","E10.33",16
"E10.65","Type 1 DM with poor control","E10.9","E10.34",17
"E10.65","Type 1 DM with poor control","E10.9","E10.35",18
"E10.65","Type 1 DM with poor control","E10.9","E10.36",19
"E10.65","Type 1 DM with poor control","E10.9","E10.39",20
"E10.65","Type 1 DM with poor control","E10.9","E10.40",21
"E10.65","Type 1 DM with poor control","E10.9","E10.41",22
"E10.65","Type 1 DM with poor control","E10.9","E10.42",23
"E10.65","Type 1 DM with poor control","E10.9","E10.43",24
"E10.65","Type 1 DM with poor control","E10.9","E10.49",25
"E10.65","Type 1 DM with poor control","E10.9","E10.50",26
"E10.65","Type 1 DM with poor control","E10.9","E10.51",27
"E10.65","Type 1 DM with poor control","E10.9","E10.52",28
"E10.65","Type 1 DM with poor control","E10.9","E10.59",29
"E10.65","Type 1 DM with poor control","E10.9","E10.61",30
"E10.65","Type 1 DM with poor control","E10.9","E10.62",31
"E10.65","Type 1 DM with poor control","E10.9","E10.63",32
"E10.65","Type 1 DM with poor control","E10.9","E10.64",33
"E10.65","Type 1 DM with poor control","E10.9","E10.69",34
"E10.65","Type 1 DM with poor control","E10.9","E10.71",35
"E10.65","Type 1 DM with poor control","E10.9","E10.73",36
"E11.53","Type 2 DM w diab ischmc cardiomyopathy","E11.59","E11.59",0
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.9",0
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.8",1
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.11",2
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.12",3
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.13",4
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.14",5
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.15",6
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.16",7
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.20",8
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.21",9
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.22",10
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.23",11
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.29",12
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.30",13
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.31",14
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.32",15
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.33",16
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.34",17
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.35",18
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.36",19
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.39",20
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.40",21
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.41",22
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.42",23
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.43",24
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.49",25
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.50",26
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.51",27
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.52",28
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.59",29
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.61",30
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.62",31
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.63",32
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.64",33
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.69",34
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.71",35
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.72",36
"E11.65","Type 2 diabetes mellitus w poor control","E11.8","E11.73",37
"E13.53","Oth spec DM w diab ischmc cardiomyopathy","E13.59","E13.59",0
"E13.65","Oth spec DM w poor control","E13.9","E13.9",0
"E13.65","Oth spec DM w poor control","E13.9","E13.8",1
"E13.65","Oth spec DM w poor control","E13.9","E13.11",2
"E13.65","Oth spec DM w poor control","E13.9","E13.12",3
"E13.65","Oth spec DM w poor control","E13.9","E13.13",4
"E13.65","Oth spec DM w poor control","E13.9","E13.14",5
"E13.65","Oth spec DM w poor control","E13.9","E13.15",6
"E13.65","Oth spec DM w poor control","E13.9","E13.16",7
"E13.65","Oth spec DM w poor control","E13.9","E13.20",8
"E13.65","Oth spec DM w poor control","E13.9","E13.21",9
"E13.65","Oth spec DM w poor control","E13.9","E13.22",10
"E13.65","Oth spec DM w poor control","E13.9","E13.23",11
"E13.65","Oth spec DM w poor control","E13.9","E13.29",12
"E13.65","Oth spec DM w poor control","E13.9","E13.30",13
"E13.65","Oth spec DM w poor control","E13.9","E13.31",14
"E13.65","Oth spec DM w poor control","E13.9","E13.32",15
"E13.65","Oth spec DM w poor control","E13.9","E13.33",16
"E13.65","Oth spec DM w poor control","E13.9","E13.34",17
"E13.65","Oth spec DM w poor control","E13.9","E13.35",18
"E13.65","Oth spec DM w poor control","E13.9","E13.36",19
"E13.65","Oth spec DM w poor control","E13.9","E13.39",20
"E13.65","Oth spec DM w poor control","E13.9","E13.40",21
"E13.65","Oth spec DM w poor control","E13.9","E13.41",22
"E13.65","Oth spec DM w poor control","E13.9","E13.42",23
"E13.65","Oth spec DM w poor control","E13.9","E13.43",24
"E13.65","Oth spec DM w poor control","E13.9","E13.49",25
"E13.65","Oth spec DM w poor control","E13.9","E13.50",26
"E13.65","Oth spec DM w poor control","E13.9","E13.51",27
"E13.65","Oth spec DM w poor control","E13.9","E13.52",28
"E13.65","Oth spec DM w poor control","E13.9","E13.59",29
"E13.65","Oth spec DM w poor control","E13.9","E13.61",30
"E13.65","Oth spec DM w poor control","E13.9","E13.62",31
"E13.65","Oth spec DM w poor control","E13.9","E13.63",32
"E13.65","Oth spec DM w poor control","E13.9","E13.64",33
"E13.65","Oth spec DM w poor control","E13.9","E13.69",34
"E13.65","Oth spec DM w poor control","E13.9","E13.71",35
"E13.65","Oth spec DM w poor control","E13.9","E13.72",36
"E13.65","Oth spec DM w poor control","E13.9","E13.73",37
"E14.53","Unspec DM w diab ischmc cardiomyopathy","E14.59","E14.59",0
"E14.65","Unspec DM w poor control","E14.8","E14.9",0
"E14.65","Unspec DM w poor control","E14.8","E14.8",1
"E14.65","Unspec DM w poor control","E14.8","E14.11",2
"E14.65","Unspec DM w poor control","E14.8","E14.12",3
"E14.65","Unspec DM w poor control","E14.8","E14.13",4
"E14.65","Unspec DM w poor control","E14.8","E14.14",5
"E14.65","Unspec DM w poor control","E14.8","E14.15",6
"E14.65","Unspec DM w poor control","E14.8","E14.16",7
"E14.65","Unspec DM w poor control","E14.8","E14.20",8
"E14.65","Unspec DM w poor control","E14.8","E14.21",9
"E14.65","Unspec DM w poor control","E14.8","E14.22",10
"E14.65","Unspec DM w poor control","E14.8","E14.23",11
"E14.65","Unspec DM w poor control","E14.8","E14.29",12
"E14.65","Unspec DM w poor control","E14.8","E14.30",13
"E14.65","Unspec DM w poor control","E14.8","E14.31",14
"E14.65","Unspec DM w poor control","E14.8","E14.32",15
"E14.65","Unspec DM w poor control","E14.8","E14.33",16
"E14.65","Unspec DM w poor control","E14.8","E14.34",17
"E14.65","Unspec DM w poor control","E14.8","E14.35",18
"E14.65","Unspec DM w poor control","E14.8","E14.36",19
"E14.65","Unspec DM w poor control","E14.8","E14.39",20
"E14.65","Unspec DM w poor control","E14.8","E14.40",21
"E14.65","Unspec DM w poor control","E14.8","E14.41",22
"E14.65","Unspec DM w poor control","E14.8","E14.42",23
"E14.65","Unspec DM w poor control","E14.8","E14.43",24
"E14.65","Unspec DM w poor control","E14.8","E14.49",25
"E14.65","Unspec DM w poor control","E14.8","E14.50",26
"E14.65","Unspec DM w poor control","E14.8","E14.51",27
"E14.65","Unspec DM w poor control","E14.8","E14.52",28
"E14.65","Unspec DM w poor control","E14.8","E14.59",29
"E14.65","Unspec DM w poor control","E14.8","E14.61",30
"E14.65","Unspec DM w poor control","E14.8","E14.62",31
"E14.65","Unspec DM w poor control","E14.8","E14.63",32
